drug_name,chembl_id,smiles,MolecularWeight,LogP,HBD,HBA,RotatableBonds,TPSA,activity_value,pIC50
NaN,CHEMBL3808884,COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,562.5520000000001,6.035240000000004,3,6,7,113.93,112.0,6.950781977329818
NaN,CHEMBL138940,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,513.9610000000004,2.894100000000001,3,8,9,121.37,14.0,7.853871964321762
NaN,CHEMBL4079501,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C,485.5920000000003,4.499400000000003,3,7,10,98.41,5.0,8.301029995663981
NaN,CHEMBL3954370,O=C(Nc1nc2ccccc2n1[C@H]1CC[C@H](O)CC1)c1cccc(C(F)(F)F)c1,403.40400000000005,4.783400000000003,2,3,3,67.15,2000.0,5.698970004336019
NaN,CHEMBL7914,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,357.4130000000001,4.674240000000003,3,4,4,70.22999999999999,4500.0,5.346787486224656
NaN,CHEMBL3814021,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,549.0500000000002,6.352300000000005,3,6,9,91.41000000000001,2030.0,5.692503962086787
NaN,CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,344.216,3.5969000000000015,1,5,3,53.94,0.006,11.221848749616356
NaN,CHEMBL3806172,CCOC(C)Oc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,430.3920000000003,3.9532000000000025,1,9,7,117.87,270.6,6.567672207738395
NaN,CHEMBL3805782,Fc1ccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)cc1Cl,417.8240000000002,4.104800000000003,1,7,4,74.73000000000002,150.9,6.82131076022441
GEFITINIB,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.9100000000004,4.275600000000003,1,7,8,68.74000000000001,2.6,8.585026652029182
NaN,CHEMBL3805039,C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,347.37400000000014,3.524600000000002,1,6,4,65.50000000000001,21.5,7.667561540084395
NaN,CHEMBL3806248,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,375.7870000000002,4.3358000000000025,1,6,4,65.50000000000001,2.0,8.698970004336019
NaN,CHEMBL139307,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,496.40900000000005,4.377200000000003,1,6,8,70.59,3.3,8.481486060122112
NaN,CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,444.3370000000004,3.0601000000000003,2,8,7,88.09,2.9,8.537602002101044
NaN,CHEMBL3699584,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3OC)ncc2C(F)(F)F)c1,571.5600000000005,3.7566000000000024,4,9,9,131.95,5.5,8.259637310505756
NaN,CHEMBL4096014,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(CC)c4)nc32)C1,616.742,4.639600000000004,1,8,8,97.38,518.0,6.285670240254767
NaN,CHEMBL4103893,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5C[C@@H](C)N(C)[C@@H](C)C5)c(C)c4)nc32)C1,630.769,5.162620000000005,1,8,7,97.38,888.2,6.051489231162343
NaN,CHEMBL4213519,COc1ccc(-c2c3c4cc(OC)c(OCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O.O=C(O)C(F)(F)F,684.6200000000003,6.029800000000006,3,10,8,152.54,595.4,6.225191169689294
