Molecule ChEMBL ID,Molecule Name,Molecular Weight,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Assay Description,Target ChEMBL ID,Target Name,Target Organism,Document ChEMBL ID
CHEMBL3808884,,562.55,6.04,COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,IC50,'=',112.0,nM,6.95,CHEMBL3810820,Inhibition of GST-tagged human recombinant EGFR T790M mutant (668 to 1210 residues) expressed in baculovirus using Fluorescein-Poly GT as substrate,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3808348
CHEMBL138940,,513.96,2.89,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,IC50,'=',14.0,nM,7.85,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1134843
CHEMBL4079501,,485.59,4.5,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,8.3,CHEMBL4009508,Inhibition of human N-terminal GST-tagged EGFR L858R/T790M double mutant cytoplasmic domain (669 to 1210 end amino acid residues) expressed in baculovirus expression system using TK peptide substrate preincubated with enzyme for 30 mins followed by substrate addition measured after 20 mins by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4007434
CHEMBL3954370,,403.4,4.78,O=C(Nc1nc2ccccc2n1[C@H]1CC[C@H](O)CC1)c1cccc(C(F)(F)F)c1,IC50,'=',2000.0,nM,5.7,CHEMBL3860364,Inhibition of N-terminal 6x-HIS-tagged human recombinant EGFR (696 to 1022 residues) L858R mutant expressed in Sf9 cells pre-incubated for 90 mins followed by 10 uM ATP addition by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3860038
CHEMBL7914,,357.41,4.67,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,IC50,'=',4500.0,nM,5.35,CHEMBL621149,Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1127678
CHEMBL3814021,,549.05,6.35,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,IC50,'=',2030.0,nM,5.69,CHEMBL3815445,Inhibition of EGFR L858R/T790M double mutant (unknown origin) expressed in mouse BaF/3 cells assessed as cell growth inhibition after 72 hrs by MTS assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3813636
CHEMBL53711,,344.22,3.6,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,'=',0.006,nM,,CHEMBL680030,Tested for inhibition of PLC gamma-derived substrate in Epidermal growth factor receptor stimulated A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1130057
CHEMBL3806172,,430.39,3.95,CCOC(C)Oc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,IC50,'=',270.6,nM,6.57,CHEMBL3807187,Inhibition of EGFR T790M/L858R double mutant (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3804755
CHEMBL3805782,,417.82,4.1,Fc1ccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)cc1Cl,IC50,'=',150.9,nM,6.82,CHEMBL3807187,Inhibition of EGFR T790M/L858R double mutant (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3804755
CHEMBL939,GEFITINIB,446.91,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,IC50,'=',2.6,nM,8.59,CHEMBL3807186,Inhibition of wild type EGFR (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3804755
CHEMBL3805039,,347.37,3.52,C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,IC50,'=',21.5,nM,7.67,CHEMBL3807187,Inhibition of EGFR T790M/L858R double mutant (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3804755
CHEMBL3806248,,375.79,4.34,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,IC50,'=',2.0,nM,8.7,CHEMBL3807186,Inhibition of wild type EGFR (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3804755
CHEMBL139307,,496.41,4.38,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,'=',3.3,nM,8.48,CHEMBL673925,Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles),CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1134843
CHEMBL417420,,444.34,3.06,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,IC50,'=',2.9,nM,8.54,CHEMBL679947,"Inhibition of phosphorylation of phospholipase C gamma1 by Epidermal growth factor receptor, from human A431 carcinoma cell vesicles",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1130057
CHEMBL3699584,,571.56,3.76,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3OC)ncc2C(F)(F)F)c1,IC50,'=',5.5,nM,8.26,CHEMBL3707998,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13xATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1x kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM beta-glycerophosphate, 5% glycerol (10x stock, KB002A) and 0.2 mM DTT (DS001A). 5 uL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 25C. with a 0.5 Î¼L volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 uL of the ATP/Tyr-Sox peptide substrate mix and monitored every 71 seconds for 60 minutes at lamda ex360/lamda em485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log [Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3639181
CHEMBL4096014,,616.74,4.64,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(CC)c4)nc32)C1,IC50,'=',518.0,nM,6.29,CHEMBL4038017,Inhibition of recombinant human wild type GST-tagged EGFR cytoplasmic domain (668 to 1210 residues) expressed in baculovirus using tyr4 peptide as substrate after 1 hr by FRET-based Z'-Lyte assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033795
CHEMBL4103893,,630.77,5.16,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5C[C@@H](C)N(C)[C@@H](C)C5)c(C)c4)nc32)C1,IC50,'=',888.2,nM,6.05,CHEMBL4038017,Inhibition of recombinant human wild type GST-tagged EGFR cytoplasmic domain (668 to 1210 residues) expressed in baculovirus using tyr4 peptide as substrate after 1 hr by FRET-based Z'-Lyte assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033795
CHEMBL4213519,,684.62,5.4,COc1ccc(-c2c3c4cc(OC)c(OCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O.O=C(O)C(F)(F)F,IC50,'=',595.4,nM,6.22,CHEMBL4181933,Inhibition of recombinant wild type EGFR (696 to C-terminal residues) (unknown origin) preincubated for 30 mins followed by poly (Glu-Tyr) biotinylated peptide substrate addition measured after 30 mins in presence of ATP by ELISA,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4177688
CHEMBL3970063,,308.77,4.03,Nc1nc(Nc2cccc(Cl)c2)c2c(n1)-c1ccccc1C2,IC50,'=',45100.0,nM,4.35,CHEMBL3888922,Inhibition Assay: Inhibition of various kinase enzyme.,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3886207
CHEMBL2064376,,435.48,3.01,COc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,IC50,'=',380.0,nM,6.42,CHEMBL2066000,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL2062376
